Brand,Generic Category,Category,Sub Category,SKU,Product Name,Product Variant Name,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT,Media URLs,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MXP93HN/A,AirPods,AirPods 4 with Active Noise Cancellation,,,,,,,"17,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,HomePod,MY5H2HN/A,HomePod mini,HomePod mini - White,,,,,,,"10,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MYH83HN/A,Apple 85W MagSafe,Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina display),,,,,,,"7,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MYH93ZM/A,Thunderbolt 3 (USB-C),Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter,,,,,,,"4,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple Mac,MYJG3HN/A,Studio Display,Apple Studio Display - Standard Glass - Tilt-Adjustable Stand,,,,,,,"159,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple Mac,MYJK3HN/A,Studio Display,Apple Studio Display - Nano-Texture Glass - Tilt-Adjustable Stand,,,,,,,"189,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MYQT3ZM/A,240W USB-C Charge,240W USB-C Charge Cable (2 m),,,,,,,"2,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/240W%20USB-C%20Charge%20Cable%20(2%20m)/Apple%20240W%20USBC%20Charge%20Cable%20(2%20m)1.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/240W%20USB-C%20Charge%20Cable%20(2%20m)/Apple%20240W%20USBC%20Charge%20Cable%20(2%20m).webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPad,MYQW3HN/A,Apple Pencil,Apple Pencil (1st Generation),,,,,,,"9,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPhone,MYQY3ZM/A,EarPods,EarPods (USB-C),,,,,,,"2,000.00",,,,,,,,,,,,,,,,,,,,
APPLE,Apple Care,APPLE CARE,HomePod APPLE CARE,S6446HN/A,HomePod,AppleCare+ for HomePod,,,,,,,"3,900.00",https://gurucodes-data.pages.dev/websites/conquer/AppleCare/applecare.png,,,,,,,,,,,,,,,,,,,
APPLE,Apple Care,APPLE CARE,APPLE TV APPLE CARE,S9634HN/A,Apple TV,AppleCare+ for Apple TV,,,,,,,"2,900.00",https://gurucodes-data.pages.dev/websites/conquer/AppleCare/applecare.png,,,,,,,,,,,,,,,,,,,
APPLE,Apple Care,APPLE CARE,iPad AppleCare,S8402HN/A,5-inch iPad Pro,AppleCare+ for 10.5-inch iPad Pro,,,,,,,"15,900.00",https://gurucodes-data.pages.dev/websites/conquer/AppleCare/applecare.png,,,,,,,,,,,,,,,,,,,
APPLE,Apple Care,APPLE CARE,iPad AppleCare,S8403HN/A,11-inch iPad Pro,AppleCare+ for 11-inch iPad Pro,,,,,,,"12,900.00",https://gurucodes-data.pages.dev/websites/conquer/AppleCare/applecare.png,,,,,,,,,,,,,,,,,,,
APPLE,Apple Care,APPLE CARE,iPad AppleCare,S8404HN/A,9-inch iPad Pro,AppleCare+ for 12.9-inch iPad Pro (4th gen. & earlier),,,,,,,"12,900.00",https://gurucodes-data.pages.dev/websites/conquer/AppleCare/applecare.png,,,,,,,,,,,,,,,,,,,
APPLE,Apple Care,APPLE CARE,iPad AppleCare,S8622HN/A,AppleCare+,AppleCare+ for iPad Air (4th generation),,,,,,,"6,900.00",https://gurucodes-data.pages.dev/websites/conquer/AppleCare/applecare.png,,,,,,,,,,,,,,,,,,,
